"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.1903201095,42.636539568,0 -86.1902545109,42.6347133958,0 -86.1925277014,42.6346869005,0 -86.1950027845,42.6346800968,0 -86.1955697751,42.6346798483,0 -86.1982647506,42.6347448153,0 -86.1991525295,42.6347413953,0 -86.1998133222,42.6347340595,0 -86.1998650041,42.634721255,0 -86.2023947048,42.6347186914,0 -86.2025920359,42.6345850563,0 -86.202724082,42.6345051228,0 -86.202842303,42.6344899933,0 -86.2032342047,42.6342253303,0 -86.2033846923,42.6340057843,0 -86.2036012204,42.6340016921,0 -86.2038362358,42.6340713349,0 -86.2040157893,42.6340827372,0 -86.2040532428,42.6340851157,0 -86.2043736637,42.6339967903,0 -86.2047029367,42.6339907551,0 -86.2047013961,42.6334366337,0 -86.2047161114,42.6331351458,0 -86.2047696142,42.6327991456,0 -86.204893305,42.6325348165,0 -86.2045522794,42.6290982413,0 -86.2047146283,42.6291712631,0 -86.2048628692,42.6292038585,0 -86.2048999229,42.6292064712,0 -86.2050147545,42.6292145677,0 -86.2052840982,42.6292191837,0 -86.2080497639,42.6291947356,0 -86.2118903528,42.6291747661,0 -86.2118734977,42.6282095769,0 -86.2169052715,42.6281604493,0 -86.217079047,42.6338701895,0 -86.218920005,42.633859715,0 -86.2189980192,42.6362533882,0 -86.2156013013,42.6362885632,0 -86.2153996152,42.6362901004,0 -86.2154083621,42.636841658,0 -86.2165221553,42.6368285116,0 -86.2165280995,42.6371029111,0 -86.2168997424,42.6370985217,0 -86.216973106,42.6398445046,0 -86.2218569273,42.6398031073,0 -86.2243364527,42.6397828788,0 -86.2277123853,42.6397543714,0 -86.2283065562,42.6397510633,0 -86.2283104638,42.6399094624,0 -86.2283056949,42.6399237551,0 -86.2271472388,42.6433957616,0 -86.2270820545,42.6435153379,0 -86.2270598428,42.6435847936,0 -86.2269035359,42.6440735483,0 -86.2266651033,42.6446161713,0 -86.2259781894,42.6459136038,0 -86.2258722733,42.6462641967,0 -86.2235103367,42.6504042942,0 -86.2235059441,42.6504119937,0 -86.2218543716,42.6504154459,0 -86.2198937994,42.6504799901,0 -86.2198297567,42.6504952876,0 -86.2196615454,42.6505293023,0 -86.219446424,42.650549271,0 -86.2184930124,42.6505685835,0 -86.2127972398,42.6506702536,0 -86.2125665255,42.6506751322,0 -86.2124399987,42.6506405811,0 -86.2123203458,42.6505529353,0 -86.210872081,42.6506410561,0 -86.2035639664,42.6507078102,0 -86.1988886018,42.6482266549,0 -86.1943800499,42.6455510181,0 -86.1927116772,42.6456754173,0 -86.1890409813,42.6458286909,0 -86.1882936315,42.6458598827,0 -86.1885503853,42.6452363266,0 -86.1900077949,42.6417391362,0 -86.1899607618,42.6409523858,0 -86.1900739756,42.6406830572,0 -86.1907837875,42.6389944092,0 -86.1913122439,42.6380673014,0 -86.1918480639,42.6373285088,0 -86.192612602,42.63650429,0 -86.1907218801,42.6365391959,0 -86.1903201095,42.636539568,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",87,Douglas,City of Douglas,City,Saugatuck Public Schools
"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-83.8189219825,43.3926532379,0 -83.8278336094,43.392658001,0 -83.8358602299,43.3927656105,0 -83.8189219825,43.3926532379,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-83.8573227189,43.3929161736,0 -83.8573282134,43.392916194,0 -83.8575866839,43.3929180929,0 -83.8672360579,43.3929340969,0 -83.8770941617,43.3929511557,0 -83.881721178,43.3931110323,0 -83.8828857971,43.3931281427,0 -83.8842365749,43.3931338772,0 -83.8854919166,43.3931373415,0 -83.88623298,43.3931370614,0 -83.8867191482,43.3931349021,0 -83.8870133348,43.3931454991,0 -83.8873787704,43.3930978432,0 -83.8926590856,43.3929456019,0 -83.8970233007,43.3928439552,0 -83.8973490064,43.3928266418,0 -83.8974377025,43.3928518851,0 -83.8975483857,43.392858403,0 -83.8976261663,43.3928598443,0 -83.9070693231,43.392882017,0 -83.9094083861,43.3929901149,0 -83.9111599329,43.393005893,0 -83.9161750438,43.3931573749,0 -83.9163317235,43.3931365771,0 -83.9165295469,43.3931356325,0 -83.9250952086,43.3932327785,0 -83.9268413586,43.3932458623,0 -83.927167,43.400385,0 -83.9202598562,43.4003770981,0 -83.9194819221,43.4003742245,0 -83.9192086249,43.400375447,0 -83.918412095,43.4003703638,0 -83.9181083284,43.4003746367,0 -83.9160352793,43.4003722651,0 -83.9156202776,43.4003703841,0 -83.9155431823,43.4003699592,0 -83.9152618264,43.4003656038,0 -83.9145441219,43.4003705592,0 -83.911433,43.400367,0 -83.9098504232,43.4003526064,0 -83.9092325139,43.400343708,0 -83.9086226365,43.4003414396,0 -83.907035,43.400327,0 -83.900362,43.400317,0 -83.897229,43.400345,0 -83.894808,43.40114,0 -83.890998,43.401159,0 -83.886615,43.400277,0 -83.877046,43.400196,0 -83.876886,43.414615,0 -83.856581,43.414487,0 -83.8573227189,43.3929161736,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",56,Buena Vista,Buena Vista Township,Township,Bridgeport-Spaulding Community School District
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-82.9161434297,42.4309947332,0 -82.9161511351,42.4309977445,0 -82.9190302509,42.4322135267,0 -82.9220392298,42.4334933675,0 -82.9222372598,42.4330394947,0 -82.9222857634,42.4329513367,0 -82.9223305116,42.4328699337,0 -82.9229314631,42.4319830848,0 -82.9230269616,42.4318558257,0 -82.923019696,42.4318528759,0 -82.923023,42.431848,0 -82.9161811285,42.4290373392,0 -82.9165338686,42.4285741475,0 -82.9170508329,42.4279132567,0 -82.9171547145,42.4277706413,0 -82.9176242526,42.4271663974,0 -82.917878608,42.4268527566,0 -82.9180519388,42.4266427357,0 -82.9185323093,42.4260515696,0 -82.9185360957,42.4260030241,0 -82.9185282649,42.425999825,0 -82.918532,42.425995,0 -82.9158550754,42.4248980798,0 -82.9159406724,42.4242398523,0 -82.9159631779,42.4241396518,0 -82.9159803519,42.4240136766,0 -82.916099491,42.4231225601,0 -82.9161003338,42.4231161752,0 -82.91699,42.423479,0 -82.9179883988,42.4220172725,0 -82.9179960933,42.422020372,0 -82.9186458456,42.4222838726,0 -82.9197628842,42.4227391233,0 -82.9222000844,42.4237452202,0 -82.9228732068,42.4240242439,0 -82.9238175204,42.4244137379,0 -82.9247563254,42.4248016725,0 -82.9257029099,42.4251955024,0 -82.9266161264,42.4255745407,0 -82.9271551156,42.4257967502,0 -82.927310331,42.4258809357,0 -82.9274992332,42.425983392,0 -82.9276601179,42.4260706514,0 -82.9278820485,42.4261910194,0 -82.928011325,42.426261135,0 -82.9299944728,42.4270728317,0 -82.9321992026,42.4279759811,0 -82.9343469783,42.4288532476,0 -82.9373866733,42.4300978093,0 -82.9404202921,42.4313368987,0 -82.9436166677,42.4326450253,0 -82.9457397388,42.4335107782,0 -82.9478591161,42.4343812165,0 -82.9478886965,42.4343933206,0 -82.951004,42.436272,0 -82.9510142768,42.4362733007,0 -82.9510086976,42.4362806417,0 -82.9511024795,42.4362844642,0 -82.9515777703,42.4363446201,0 -82.9513122194,42.4366989946,0 -82.9509037285,42.4372398288,0 -82.9508526557,42.4373074473,0 -82.9507904914,42.4373898718,0 -82.950270136,42.4380771335,0 -82.9497556825,42.4387640728,0 -82.9495518386,42.43903625,0 -82.9491928233,42.4395141278,0 -82.9489720012,42.4398057214,0 -82.9488585611,42.4399456722,0 -82.9485616023,42.4403189738,0 -82.9481618008,42.4408523459,0 -82.9478447727,42.4412738377,0 -82.9475331337,42.4416880127,0 -82.947485708,42.4417634157,0 -82.9474160832,42.441868796,0 -82.9471277527,42.4422521061,0 -82.9466586193,42.4428768105,0 -82.9463581589,42.4432798665,0 -82.9461314402,42.4435836268,0 -82.945829079,42.4439898091,0 -82.9453577213,42.444614931,0 -82.9447683223,42.4454046123,0 -82.9440486118,42.446358067,0 -82.9437771077,42.4467214099,0 -82.9433826871,42.447248714,0 -82.9432264764,42.4474575542,0 -82.9432117512,42.4474755059,0 -82.9430668969,42.4476643071,0 -82.9426809016,42.4481778006,0 -82.9425942681,42.4482872871,0 -82.9423047097,42.4486152841,0 -82.9419895313,42.4489515186,0 -82.9419019716,42.4490449271,0 -82.9407471513,42.4502301989,0 -82.936831,42.450284,0 -82.935403,42.450159,0 -82.929377,42.448759,0 -82.930864,42.445402,0 -82.932281,42.442481,0 -82.93117,42.441912,0 -82.921028,42.437744,0 -82.92125,42.43724,0 -82.921045,42.43702,0 -82.920876,42.436943,0 -82.920989,42.435933,0 -82.917368,42.43446,0 -82.918064,42.433517,0 -82.91514,42.432321,0 -82.9161434297,42.4309947332,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",109,Harper Woods,City of Harper Woods,City,Harper Woods City Schools
"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-83.1634510372,42.4893180087,0 -83.1622622223,42.4893585271,0 -83.1616662143,42.4893783414,0 -83.1609760621,42.4893952159,0 -83.1589760897,42.4894708622,0 -83.1582687186,42.4886919877,0 -83.1580249347,42.4884235557,0 -83.1562098958,42.4864772992,0 -83.1559505423,42.4861991845,0 -83.1543407775,42.4845180162,0 -83.1534032089,42.4834932625,0 -83.153487,42.483581,0 -83.154371,42.484509,0 -83.159011,42.489451,0 -83.163451,42.489317,0 -83.1634510372,42.4893180087,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-83.1534151842,42.4776779127,0 -83.1534149756,42.4776727659,0 -83.1533381489,42.4769126591,0 -83.1534952167,42.476837902,0 -83.1538115566,42.4766427362,0 -83.1537955127,42.4763628777,0 -83.1536161595,42.4761604195,0 -83.1534567679,42.4760884337,0 -83.1534065979,42.4760723235,0 -83.1533095708,42.4760687371,0 -83.153283119,42.4757380236,0 -83.1532390483,42.474967307,0 -83.1532979966,42.4749648459,0 -83.153336,42.474964,0 -83.153609561,42.4749585101,0 -83.1555057828,42.4749492548,0 -83.1555063399,42.4749204449,0 -83.155678,42.474917,0 -83.1556267594,42.4741336104,0 -83.1558794227,42.4741210254,0 -83.1562699428,42.4741224288,0 -83.156374866,42.4741204251,0 -83.1564356658,42.4741192186,0 -83.1564964665,42.4741179835,0 -83.1565572662,42.474116724,0 -83.156618066,42.4741154445,0 -83.1566399224,42.4741149784,0 -83.159236,42.474097,0 -83.160081,42.474078,0 -83.1620061015,42.4741245309,0 -83.162030845,42.4741261618,0 -83.1624380684,42.4741616105,0 -83.162833787,42.474200296,0 -83.1629230176,42.4742125146,0 -83.1629828095,42.4742207717,0 -83.1630425915,42.4742290752,0 -83.1631023654,42.4742374151,0 -83.163162133,42.4742457841,0 -83.1632218952,42.4742541744,0 -83.1632816556,42.4742625772,0 -83.1633414142,42.4742709847,0 -83.1634011738,42.4742793889,0 -83.163460936,42.4742877811,0 -83.1635207027,42.4742961541,0 -83.1635804757,42.4743044986,0 -83.1636402559,42.474312808,0 -83.1636758238,42.4743177244,0 -83.1636762448,42.4743177826,0 -83.163697,42.474731,0 -83.162864,42.474759,0 -83.163111,42.480741,0 -83.159985,42.479498,0 -83.156163,42.479123,0 -83.154668,42.477666,0 -83.1534151842,42.4776779127,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",71,Huntington Woods,City of Huntington Woods,City,Royal Oak City School District
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.7721491694,42.0195784925,0 -83.7720954214,42.0176254885,0 -83.7719079511,42.0108285235,0 -83.7718782735,42.0097620408,0 -83.7716706351,42.0026187388,0 -83.7733447831,42.0025765076,0 -83.774820407,42.0025367308,0 -83.7750974716,42.0024790276,0 -83.778528064,42.0023677158,0 -83.7876644767,42.0020468641,0 -83.7912291947,42.0019127278,0 -83.8056212368,42.0015857475,0 -83.8072846778,42.0015586686,0 -83.8106371096,42.0016479876,0 -83.8253121426,42.0015601379,0 -83.8302475658,42.0016733189,0 -83.8502642468,42.0013128661,0 -83.85032,42.003316,0 -83.8548,42.003268,0 -83.85953,42.003252,0 -83.859463,42.008444,0 -83.866511,42.008332,0 -83.86654,42.011866,0 -83.863959,42.011945,0 -83.864059,42.015616,0 -83.857207,42.015739,0 -83.857184,42.008475,0 -83.850998,42.008559,0 -83.84982,42.008604,0 -83.849871,42.00965,0 -83.84991,42.012061,0 -83.852457,42.012178,0 -83.854147,42.01306,0 -83.85405,42.015932,0 -83.845859,42.015996,0 -83.846092,42.023223,0 -83.85025,42.023147,0 -83.850387,42.028996,0 -83.84133,42.029021,0 -83.841602,42.037884,0 -83.865948,42.0374,0 -83.866165,42.041015,0 -83.875112,42.040952,0 -83.87533,42.037365,0 -83.87928,42.037374,0 -83.879501,42.043445,0 -83.873958,42.043543,0 -83.873944,42.044647,0 -83.870483,42.044562,0 -83.87072,42.051841,0 -83.865674,42.051927,0 -83.865923,42.059426,0 -83.845872,42.059866,0 -83.846042,42.058403,0 -83.840528,42.058391,0 -83.840746,42.067139,0 -83.839526,42.067155,0 -83.839602,42.075528,0 -83.841686,42.075522,0 -83.841956,42.08129,0 -83.8407082664,42.0813106116,0 -83.8384639401,42.0813325488,0 -83.8326523424,42.0814425042,0 -83.8318532262,42.0814387352,0 -83.8237432331,42.0815857609,0 -83.8230055618,42.0815872343,0 -83.8222763553,42.081606958,0 -83.8195156069,42.0816463292,0 -83.8142389859,42.0817478643,0 -83.803516,42.081925,0 -83.7739265054,42.0824299231,0 -83.7739201118,42.0813238567,0 -83.7738761759,42.0807855052,0 -83.7736816548,42.0738047099,0 -83.7735915628,42.067923981,0 -83.773484613,42.0661824083,0 -83.7734245993,42.0643226362,0 -83.7733198225,42.0606854758,0 -83.7731201225,42.0535130805,0 -83.773115816,42.0533728968,0 -83.7730961775,42.0528507234,0 -83.7730847875,42.0524747775,0 -83.7728986132,42.0461093858,0 -83.7727866777,42.0424957854,0 -83.7726766045,42.0388580847,0 -83.7725998174,42.0356791858,0 -83.7725856743,42.0352086185,0 -83.7724858149,42.0315820968,0 -83.7724856289,42.0314734482,0 -83.7724317713,42.0296722993,0 -83.772281167,42.0242786369,0 -83.7722313985,42.0225294997,0 -83.7721491694,42.0195784925,0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-83.84982,42.008604,0 -83.849553,42.006316,0 -83.848362,42.005072,0 -83.844975,42.00499,0 -83.845163,42.008661,0 -83.84847,42.00862,0 -83.84982,42.008604,0</coordinates></LinearRing></innerBoundaryIs></Polygon>",100,Macon,Macon Township,Township,Britton Macon Area Sch Dist
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-83.6604411198,42.2640742508,0 -83.6600335443,42.2690641644,0 -83.6599932234,42.2695577666,0 -83.6599516593,42.2700665795,0 -83.6599009918,42.27068681,0 -83.659825,42.271553,0 -83.65329,42.272282,0 -83.650916,42.272062,0 -83.646989,42.27019,0 -83.642083,42.264989,0 -83.640978,42.272753,0 -83.642537,42.273306,0 -83.643805,42.276327,0 -83.646873,42.277396,0 -83.647486,42.27929,0 -83.650124,42.278952,0 -83.650071,42.28686,0 -83.649139,42.286998,0 -83.648514,42.288827,0 -83.648118,42.295497,0 -83.642229,42.295085,0 -83.64265,42.298514,0 -83.63679,42.299185,0 -83.63809,42.303776,0 -83.643616,42.303568,0 -83.642352,42.311174,0 -83.614688,42.312359,0 -83.614825,42.316012,0 -83.609407,42.315955,0 -83.609492,42.312344,0 -83.604576,42.312187,0 -83.595444,42.312103,0 -83.595626,42.32094,0 -83.593038,42.320906,0 -83.593313,42.323059,0 -83.59079,42.3231,0 -83.591012,42.33401,0 -83.586487,42.334053,0 -83.58663,42.328629,0 -83.578365,42.328442,0 -83.5784,42.327336,0 -83.5464852118,42.3275759683,0 -83.5461561037,42.3203251722,0 -83.5461382377,42.3200415959,0 -83.5458628716,42.3145311277,0 -83.5458067714,42.313319572,0 -83.5458063887,42.3133128556,0 -83.5555,42.312994,0 -83.554916,42.305686,0 -83.5453787343,42.3058169487,0 -83.5453250749,42.3045458738,0 -83.5452098157,42.3018251041,0 -83.5452095613,42.301819029,0 -83.55479,42.30188,0 -83.554728,42.29809,0 -83.551406,42.298126,0 -83.551523,42.291807,0 -83.554766,42.291062,0 -83.5447631999,42.2912339278,0 -83.5446722108,42.2888881326,0 -83.5446528198,42.2883881872,0 -83.544567231,42.2861832978,0 -83.5443324851,42.2801430522,0 -83.5442160176,42.2771315307,0 -83.5442071261,42.2769025758,0 -83.5441098568,42.2740640146,0 -83.5437900787,42.2643481472,0 -83.543732565,42.2624705074,0 -83.5441082081,42.2624575926,0 -83.5441095906,42.2624575674,0 -83.5448111137,42.2624447477,0 -83.5448375664,42.262443902,0 -83.5538095343,42.2621566993,0 -83.558954256,42.2620808172,0 -83.5669155878,42.2618516188,0 -83.5743982864,42.2616527769,0 -83.5820500228,42.2614800468,0 -83.5873625408,42.2614953318,0 -83.5907906656,42.2612504226,0 -83.5908538845,42.261245602,0 -83.591017086,42.2612402713,0 -83.5914236464,42.2612284606,0 -83.5920872597,42.261204197,0 -83.5922177328,42.2612012105,0 -83.593241762,42.2611697501,0 -83.5935533417,42.2611648084,0 -83.5939035859,42.2611619622,0 -83.5940929408,42.2611607383,0 -83.5962528923,42.2611016686,0 -83.5979805341,42.2610516991,0 -83.5982623032,42.2610490378,0 -83.6024063008,42.2609638933,0 -83.6030625848,42.2609465744,0 -83.6074131123,42.2608335871,0 -83.6075348016,42.2608267798,0 -83.6122938478,42.2606790646,0 -83.6154044379,42.2605911645,0 -83.6178967714,42.2605212554,0 -83.6224716585,42.2603950344,0 -83.6241758812,42.2603134665,0 -83.6299271894,42.2601771229,0 -83.6302678036,42.2601497766,0 -83.631053312,42.260086709,0 -83.6338541198,42.2600514231,0 -83.6341023738,42.2600412796,0 -83.6342133382,42.2599881705,0 -83.6343273649,42.2599081864,0 -83.6347469599,42.2597371535,0 -83.6349494977,42.259731991,0 -83.6384338596,42.2596431262,0 -83.6386131454,42.2596396996,0 -83.6415642225,42.2596515857,0 -83.6453627172,42.259590566,0 -83.6457278069,42.2596702719,0 -83.6460142518,42.2597230262,0 -83.6464322972,42.2597629536,0 -83.6468512301,42.2597795235,0 -83.6478038091,42.2597671102,0 -83.6497635521,42.2597100996,0 -83.6500840468,42.2597000531,0 -83.6518733417,42.259641391,0 -83.6519997391,42.2596356028,0 -83.6534090997,42.2596037925,0 -83.6541374582,42.2595769173,0 -83.6564062649,42.2595265251,0 -83.657850021,42.2594895928,0 -83.6582313127,42.2594798361,0 -83.6612369456,42.2593968152,0 -83.6603821449,42.2612553436,0 -83.6601317176,42.2614670035,0 -83.6599252263,42.2616745838,0 -83.659764789,42.2618736511,0 -83.6597569692,42.2618833529,0 -83.6596490905,42.2621077299,0 -83.6595589455,42.2623366528,0 -83.6595303036,42.2625555063,0 -83.6595179311,42.2627482131,0 -83.6595670842,42.2630274685,0 -83.659565,42.263032,0 -83.6595686156,42.2630361688,0 -83.6595692402,42.2630397171,0 -83.6596282783,42.2631993715,0 -83.6598675491,42.2636098937,0 -83.6601085734,42.2638507211,0 -83.6604411198,42.2640742508,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",145,Superior,Superior Township,Township,Ypsilanti Community Schools
